BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,MSDLWI_INDEX-Index Curve,MSDLWI_INDEX-Index Curve,USD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,850.991,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,MXEF_INDEX-Index Curve,MXEF_INDEX-Index Curve,USD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,937.35,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,MXEU_INDEX-Index Curve,MXEU_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,84.61,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,MXLA_INDEX-Index Curve,MXLA_INDEX-Index Curve,USD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,3521.49,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,MXME_INDEX-Index Curve,MXME_INDEX-Index Curve,USD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,182.76,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,MXWO0IT_INDEX-Index Curve,MXWO0IT_INDEX-Index Curve,USD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,94.89,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,NIFTY_INDEX-Index Curve,NIFTY_INDEX-Index Curve,INR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,5278.9,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,OPALPACX_INDEX-Index Curve,OPALPACX_INDEX-Index Curve,USD,0,TRUE,@Sliding Axis 2
