BAS,Volatility - Term/TermSPEC,,,TRUE,FALSE,FALSE,@Linear,@Linear,@Constant,%,annual,actual/actual,FALSE,0,AUD_Swaption_Volatility_Surface,AUD_Swaption_Volatility_Surface,Volatility - Term/Term,Volatility - Term/TermSPEC
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.186160122,2190,2920,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.183399016,2190,3285,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.183825416,2190,3650,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.185413407,2190,5475,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.191220437,2190,7300,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.194364558,2190,9125,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.195981802,2190,10950,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.204283062,2555,365,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.201159724,2555,730,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.198041148,2555,1095,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.194854422,2555,1460,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
